k;N;Ca;P;Mg;class
35.73;109.67;1.58;61.80;64.59;Ruim
220.86;390.28;177.73;27.12;77.96;Ruim
472.37;236.99;45.71;5.92;26.38;Ruim
131.91;188.70;155.92;85.26;71.46;Bom
255.30;284.55;139.78;36.85;75.44;Ruim
335.30;201.63;62.71;42.95;81.52;Bom
1.52;285.43;43.97;54.23;26.16;Ruim
495.29;308.38;0.59;16.83;23.08;Ruim
304.14;418.76;198.30;97.27;56.41;Pessimo
320.14;291.54;94.47;81.59;35.08;Ruim
65.58;110.41;94.34;65.67;90.86;Ruim
343.81;397.23;134.50;26.00;60.58;Ruim
323.48;398.47;23.70;0.82;53.16;Ruim
474.72;462.19;134.50;8.44;47.34;Ruim
69.89;468.89;164.34;79.89;95.43;Ruim
282.40;437.31;78.93;74.71;18.19;Ruim
347.83;70.23;28.08;52.27;84.51;Ruim
296.21;264.23;175.67;3.65;19.52;Ruim
77.53;159.36;20.18;22.37;25.17;Bom
238.65;97.51;11.67;74.58;36.73;Ruim
448.37;57.87;155.22;39.83;8.52;Ruim
301.77;488.98;120.88;7.34;51.79;Ruim
76.86;94.56;184.45;28.47;96.26;Ruim
78.09;122.23;79.00;97.43;7.96;Bom
21.42;265.02;39.18;80.96;54.99;Ruim
487.92;322.91;13.30;58.85;12.60;Ruim
399.55;449.65;167.65;80.49;58.97;Pessimo
127.49;379.96;4.77;92.98;28.24;Bom
163.87;422.22;167.44;62.98;55.34;Bom
446.31;186.46;50.06;22.02;89.18;Ruim
357.93;120.83;32.98;52.25;66.13;Ruim
352.68;403.40;5.83;37.03;62.30;Ruim
296.45;293.57;103.87;74.27;34.97;Ruim
442.40;316.11;139.59;27.44;74.95;Ruim
32.94;170.83;190.46;78.43;33.66;Ruim
420.18;487.49;38.10;13.61;56.62;Ruim
421.98;106.63;106.55;73.37;50.25;Ruim
283.41;417.01;62.04;21.66;62.32;Ruim
381.57;491.21;174.43;46.53;31.40;Ruim
257.01;27.09;115.93;27.18;58.09;Ruim
70.48;457.95;60.08;22.41;65.12;Ruim
232.75;209.98;2.49;19.65;98.48;Ruim
344.65;210.22;123.00;51.14;43.71;Ruim
325.03;135.57;70.05;30.91;73.40;Bom
273.30;334.60;183.78;99.94;9.95;Pessimo
264.49;27.66;87.79;76.20;8.77;Ruim
223.51;120.62;189.89;98.39;55.91;Ruim
330.48;61.66;93.03;9.78;26.73;Ruim
296.48;352.98;56.10;63.13;35.30;Ruim
50.95;195.62;165.57;53.78;44.41;Ruim
352.09;55.03;121.66;38.79;13.34;Ruim
374.59;493.82;6.83;3.26;7.56;Pessimo
265.41;136.85;40.52;24.48;28.19;Bom
386.62;434.25;99.10;27.84;99.51;Ruim
203.77;7.07;26.55;3.12;60.21;Ruim
422.63;373.42;178.76;91.88;84.65;Pessimo
158.14;412.52;84.27;94.06;49.41;Bom
370.14;147.93;96.12;97.68;77.24;Ruim
103.51;56.67;90.17;18.55;70.41;Bom
94.49;388.63;75.37;30.27;70.72;Bom
324.06;220.30;198.68;37.77;81.22;Ruim
408.77;434.94;67.95;15.85;74.61;Ruim
187.71;442.05;118.44;63.90;51.25;Ruim
368.90;155.64;190.48;69.04;59.42;Ruim
311.83;21.42;22.85;3.69;2.42;Pessimo
41.94;67.54;59.97;97.95;35.18;Ruim
408.39;122.66;148.53;18.32;92.70;Ruim
96.87;298.03;14.56;75.61;48.57;Ruim
82.80;380.77;68.98;50.74;68.41;Bom
300.23;293.26;64.79;84.82;42.38;Ruim
263.19;28.73;160.18;19.59;83.83;Ruim
444.50;489.33;186.95;73.66;40.31;Ruim
275.81;51.79;142.93;18.10;69.64;Ruim
306.24;355.61;35.33;55.10;57.77;Ruim
171.08;142.97;189.37;5.27;87.53;Bom
141.08;125.33;6.17;95.87;22.65;Bom
281.95;440.76;33.61;65.37;43.36;Ruim
88.76;414.92;35.67;57.82;61.82;Ruim
180.91;376.58;2.76;59.22;35.11;Bom
389.13;202.21;156.77;39.90;44.17;Ruim
430.45;380.14;82.34;4.12;64.64;Ruim
178.66;201.05;165.52;96.22;58.41;Bom
178.93;239.01;115.71;36.46;18.78;Bom
72.61;84.67;112.55;71.48;74.81;Ruim
470.88;107.59;100.53;68.63;0.05;Ruim
388.95;79.42;180.51;47.97;24.81;Ruim
276.69;287.85;149.22;41.85;46.48;Ruim
495.26;209.90;41.84;77.55;77.10;Ruim
417.21;254.14;129.59;23.51;73.97;Ruim
98.12;65.72;41.02;41.21;83.94;Bom
89.61;324.81;135.26;45.10;16.96;Ruim
225.07;55.78;3.30;69.38;34.27;Ruim
231.68;344.19;60.36;34.67;25.90;Bom
17.90;244.84;182.98;4.64;80.23;Pessimo
333.09;489.35;140.50;83.67;95.54;Pessimo
325.64;131.98;156.22;55.61;32.05;Bom
234.02;237.97;156.63;60.40;99.57;Ruim
480.62;428.51;7.40;80.25;25.21;Ruim
66.76;244.02;37.20;50.38;91.87;Ruim
224.43;339.70;198.91;55.14;59.42;Ruim
228.73;471.52;1.92;10.03;91.71;Ruim
225.49;447.62;130.09;42.84;40.90;Ruim
346.47;329.79;36.78;34.61;74.57;Ruim
459.45;137.49;106.05;88.32;43.91;Bom
269.06;20.90;146.13;30.26;1.56;Ruim
17.48;432.22;146.33;68.30;96.96;Pessimo
266.04;161.95;145.33;88.77;50.16;Ruim
82.40;389.62;148.87;74.53;84.59;Ruim
384.97;262.57;103.85;99.49;90.70;Ruim
168.71;127.47;49.53;39.48;43.11;Ideal
406.56;59.94;54.35;42.44;32.88;Ruim
167.16;182.19;87.59;24.70;31.63;Ideal
222.27;113.27;111.28;9.73;41.10;Ruim
289.65;233.38;74.10;10.06;9.36;Ruim
132.70;80.68;3.17;88.31;25.28;Bom
166.39;463.31;188.32;98.74;29.69;Bom
40.90;407.98;44.15;59.26;53.08;Ruim
499.53;53.88;52.92;84.70;70.13;Ruim
381.07;326.26;149.48;68.02;24.12;Ruim
59.11;69.94;34.36;20.37;1.41;Ruim
268.23;306.81;112.92;8.03;98.33;Ruim
208.18;405.54;25.39;1.42;41.20;Ruim
376.49;163.12;105.42;65.89;18.56;Bom
271.13;347.69;157.06;30.61;99.72;Ruim
444.72;1.29;187.01;63.69;65.04;Pessimo
369.29;346.21;78.67;37.09;14.85;Bom
318.68;421.44;120.95;11.33;89.70;Ruim
156.02;159.46;111.49;68.37;20.98;Ideal
438.75;271.94;84.63;76.55;11.93;Ruim
302.67;199.23;138.61;37.20;48.25;Ruim
295.27;256.91;196.01;89.17;67.76;Pessimo
462.24;449.66;106.49;56.34;58.38;Ruim
208.64;31.32;158.08;4.50;99.43;Ruim
232.27;355.38;51.66;52.65;45.40;Ruim
53.06;324.31;38.73;13.16;46.51;Ruim
113.01;454.55;47.96;69.41;86.18;Ruim
264.52;203.87;156.04;69.13;97.30;Ruim
337.48;184.84;193.27;45.36;50.75;Ruim
339.85;398.52;198.13;4.54;33.06;Ruim
181.52;170.90;38.13;48.98;61.91;Bom
321.07;291.97;10.53;84.56;7.26;Pessimo
281.09;218.96;94.64;16.14;99.12;Ruim
121.35;493.65;158.81;28.76;53.49;Bom
216.79;134.84;42.29;48.47;7.01;Bom
467.72;162.85;157.40;59.31;46.43;Ruim
383.77;72.29;81.77;80.42;83.28;Ruim
281.97;440.46;168.69;23.06;40.76;Ruim
12.14;204.57;5.00;2.50;92.88;Ruim
332.66;89.52;181.93;5.26;64.64;Ruim
305.56;192.64;138.46;28.46;2.20;Ruim
306.92;133.41;149.31;72.91;39.85;Ruim
152.22;139.32;156.30;0.14;11.39;Bom
264.47;309.77;174.70;93.56;97.82;Pessimo
441.77;329.47;186.27;62.83;98.32;Pessimo
156.56;263.31;185.81;84.26;32.91;Bom
492.71;218.92;84.95;25.93;88.95;Ruim
146.01;96.72;133.18;16.80;53.22;Bom
458.38;119.57;155.13;71.71;49.97;Ruim
393.95;16.04;187.98;1.20;16.68;Ruim
268.97;63.13;128.38;77.71;1.76;Ruim
66.85;361.43;33.30;89.85;0.32;Ruim
494.99;278.99;127.19;66.40;57.54;Pessimo
149.51;397.07;47.25;69.73;83.93;Bom
479.31;307.48;162.72;30.32;67.22;Ruim
490.13;287.66;148.89;6.37;13.36;Ruim
82.51;483.06;123.74;69.61;34.58;Ruim
262.51;344.23;83.21;53.83;91.80;Ruim
207.45;213.94;176.09;18.77;77.32;Ruim
109.28;461.87;115.38;72.09;14.71;Ruim
355.44;169.35;134.52;21.56;6.54;Ruim
367.66;422.92;167.92;12.30;30.66;Ruim
464.89;483.14;32.70;49.09;48.57;Ruim
237.74;462.89;143.32;33.12;22.65;Ruim
290.56;218.00;6.66;25.42;78.49;Ruim
393.82;238.19;37.62;17.43;5.65;Ruim
41.01;325.41;144.69;19.34;86.31;Ruim
135.64;272.36;133.92;67.62;29.38;Bom
428.56;246.84;14.24;32.99;57.24;Ruim
84.24;357.31;167.32;69.56;47.87;Ruim
257.18;466.83;103.70;49.81;75.27;Ruim
112.45;321.82;67.17;99.73;11.95;Ruim
84.32;75.00;187.99;40.49;68.46;Ruim
78.07;339.08;161.02;87.34;76.90;Ruim
499.24;490.19;176.15;37.41;47.09;Ruim
282.24;473.95;144.30;0.13;6.38;Pessimo
266.15;60.39;11.17;16.81;89.80;Ruim
281.58;205.71;167.25;73.68;14.86;Ruim
33.55;474.40;189.50;38.02;36.84;Ruim
61.59;418.83;195.30;24.67;18.77;Ruim
341.37;267.01;92.75;39.45;26.21;Ruim
155.42;395.13;41.62;33.69;95.58;Bom
410.26;167.74;14.57;36.15;39.32;Bom
75.50;71.74;37.96;23.24;63.50;Ruim
291.51;69.65;70.66;69.11;94.42;Ruim
18.79;243.39;37.03;29.13;26.29;Ruim
217.04;226.69;199.46;93.17;90.67;Ruim
21.41;63.14;65.36;64.01;12.12;Ruim
103.01;464.19;139.94;25.17;6.54;Ruim
203.69;483.90;133.24;18.78;51.37;Ruim
374.08;131.04;140.94;49.80;86.14;Ruim
41.98;268.24;68.16;20.51;38.46;Ruim
3.00;174.62;121.56;74.09;41.27;Ruim
258.13;162.56;172.27;63.82;19.25;Ruim
242.45;255.21;36.94;58.51;36.94;Ruim
425.92;210.74;65.93;72.81;91.79;Ruim
147.93;284.26;151.74;49.79;62.29;Bom
384.11;298.67;142.83;66.67;94.59;Pessimo
32.54;413.05;162.22;90.41;95.56;Pessimo
288.94;474.37;35.84;1.58;31.56;Ruim
73.31;73.66;43.23;11.05;87.87;Ruim
172.37;123.12;133.86;16.55;83.25;Bom
466.10;10.36;29.68;35.53;28.37;Ruim
417.43;386.17;187.88;53.44;70.44;Ruim
462.28;46.52;194.67;46.74;6.45;Ruim
107.21;62.30;14.55;76.53;59.51;Ruim
255.94;93.07;36.77;13.41;14.77;Ruim
121.28;373.73;127.29;46.14;40.98;Bom
142.66;290.43;73.59;25.63;25.15;Bom
71.68;191.21;85.18;98.33;31.95;Bom
289.84;4.38;16.62;12.62;20.23;Ruim
140.94;246.75;80.55;15.51;51.09;Bom
67.06;172.93;167.45;29.96;37.51;Bom
280.56;484.92;24.96;30.32;14.50;Ruim
297.53;345.34;9.93;98.39;11.13;Pessimo
272.05;497.57;12.56;64.29;2.24;Pessimo
408.53;266.26;48.84;36.02;34.54;Ruim
268.47;202.37;79.44;1.92;63.98;Ruim
158.93;58.07;99.61;96.48;35.69;Bom
253.67;496.51;77.52;14.61;72.17;Ruim
36.00;85.63;108.73;36.39;25.25;Bom
72.17;24.86;169.96;50.90;98.46;Ruim
422.78;356.84;169.92;46.36;2.59;Ruim
286.72;405.25;79.37;33.18;34.75;Bom
312.13;269.56;165.19;15.39;69.88;Pessimo
465.90;116.62;5.42;36.09;35.68;Ruim
260.01;249.21;187.37;57.44;89.26;Ruim
338.89;326.23;153.08;44.32;71.14;Ruim
396.91;7.78;68.92;81.26;39.94;Ruim
305.31;19.34;128.73;24.75;71.89;Ruim
353.03;22.64;171.46;90.89;62.46;Pessimo
291.34;98.24;163.99;76.27;40.56;Ruim
309.94;320.91;103.87;36.42;27.07;Ruim
232.01;445.10;173.45;28.36;18.81;Ruim
302.01;55.80;104.65;97.98;34.16;Ruim
137.76;192.14;25.80;41.60;63.84;Bom
211.62;357.89;12.01;39.76;60.03;Ruim
487.66;283.35;119.61;3.14;94.67;Ruim
301.29;233.03;5.67;79.21;9.72;Ruim
343.27;368.51;51.21;82.73;12.31;Ruim
394.72;285.77;40.81;56.50;89.76;Ruim
6.27;254.69;171.65;4.86;91.67;Pessimo
34.88;259.71;4.83;29.82;56.17;Ruim
398.72;484.13;54.66;52.70;40.86;Ruim
18.23;440.60;117.14;93.86;60.59;Ruim
14.70;368.55;181.99;25.93;73.29;Ruim
270.56;260.16;162.03;98.92;12.62;Ruim
41.97;308.70;157.61;82.62;55.81;Ruim
231.04;197.98;88.97;15.85;27.04;Bom
355.72;46.78;174.69;61.76;93.21;Pessimo
325.10;57.74;81.09;50.16;60.55;Ruim
273.00;327.53;197.94;26.83;34.50;Ruim
398.10;463.23;74.99;6.69;4.61;Ruim
406.94;140.24;7.89;65.69;67.49;Ruim
81.72;218.24;24.35;60.86;12.91;Ruim
409.66;2.29;166.66;42.70;27.57;Ruim
179.51;174.97;171.49;77.55;38.11;Bom
189.45;248.06;20.46;17.40;68.75;Ruim
387.16;449.85;109.23;61.08;80.32;Ruim
489.50;191.63;95.02;36.17;18.37;Ruim
243.63;371.95;5.12;66.03;81.28;Pessimo
25.26;82.54;102.27;17.92;72.75;Ruim
439.44;292.08;185.80;23.74;56.40;Ruim
334.27;56.60;41.49;41.78;50.70;Ruim
225.11;151.84;23.30;87.56;29.78;Bom
244.72;179.10;78.00;44.40;7.56;Bom
424.39;18.81;164.07;61.88;62.58;Pessimo
281.03;394.14;63.51;38.47;96.99;Ruim
436.11;111.58;9.01;86.30;62.90;Ruim
128.91;401.30;94.81;94.41;15.91;Bom
80.33;155.30;73.88;61.91;65.46;Bom
493.49;264.74;38.93;70.08;10.76;Ruim
43.37;494.41;70.05;15.67;62.99;Ruim
246.31;462.59;96.06;30.13;38.42;Ruim
192.06;56.55;198.24;33.83;79.40;Ruim
121.94;153.96;105.57;75.99;84.54;Bom
155.68;282.92;70.47;43.06;54.39;Ideal
105.56;19.16;122.95;21.36;46.93;Ruim
275.94;372.95;149.63;56.46;6.91;Ruim
314.06;2.60;184.32;61.23;64.39;Pessimo
449.15;172.57;108.63;38.13;62.18;Bom
362.80;38.32;80.39;15.56;16.93;Ruim
359.54;188.31;82.32;21.32;89.17;Ruim
4.31;284.88;72.51;93.29;66.19;Ruim
464.28;232.68;93.18;96.27;34.22;Ruim
207.86;88.21;23.32;61.53;35.29;Ruim
274.79;329.21;111.59;62.88;40.79;Ruim
37.70;413.95;27.61;82.78;70.70;Pessimo
76.39;337.14;108.02;13.62;30.38;Ruim
439.05;298.06;78.53;26.44;39.09;Ruim
404.51;274.38;66.44;90.83;20.90;Ruim
467.12;261.38;3.57;49.26;9.41;Ruim
98.65;115.88;148.08;8.19;43.70;Ruim
40.20;75.77;154.31;8.02;9.93;Ruim
156.56;483.98;66.62;20.51;34.73;Bom
214.36;473.64;70.70;67.43;84.75;Ruim
171.22;377.38;96.47;16.17;4.88;Bom
47.92;371.46;70.35;76.79;41.83;Ruim
35.63;395.33;135.88;17.98;83.08;Ruim
83.80;466.45;104.31;59.58;98.97;Ruim
190.02;141.01;186.89;60.43;92.27;Bom
293.15;495.07;10.01;11.83;93.67;Pessimo
165.78;179.80;81.80;13.82;13.74;Ideal
291.36;200.40;58.61;39.68;28.88;Bom
404.87;200.51;149.70;69.51;64.13;Ruim
404.30;66.84;195.23;74.39;99.38;Ruim
335.37;364.85;61.96;89.43;8.86;Ruim
13.66;386.70;21.63;17.01;26.78;Ruim
31.29;135.45;126.17;93.89;88.43;Ruim
97.03;391.74;32.79;80.60;63.84;Ruim
240.98;178.78;140.67;57.20;12.54;Bom
373.50;419.96;153.86;64.35;69.24;Pessimo
428.17;32.27;28.19;65.49;7.39;Pessimo
178.15;440.43;0.48;76.34;68.69;Ruim
299.94;386.28;3.95;95.28;14.24;Ruim
63.19;358.43;105.74;47.09;13.78;Ruim
50.98;330.32;99.96;19.07;57.41;Ruim
454.21;61.90;13.47;77.64;86.61;Ruim
336.79;148.23;75.79;68.37;19.64;Bom
435.15;43.94;137.26;70.74;1.22;Pessimo
486.94;339.01;182.49;30.87;27.58;Ruim
467.83;440.61;166.42;31.28;21.95;Ruim
35.39;442.85;98.84;33.24;93.66;Ruim
239.81;157.89;96.82;34.92;6.59;Bom
31.08;209.74;199.02;92.74;51.48;Ruim
77.67;276.64;77.21;95.69;80.12;Ruim
243.96;274.24;40.06;21.14;52.78;Ruim
483.15;425.47;82.50;99.65;64.34;Ruim
216.13;187.79;20.77;10.53;18.08;Ruim
178.52;426.49;16.96;58.98;4.51;Bom
371.17;225.49;77.56;31.35;95.68;Bom
495.17;51.29;123.34;69.61;64.00;Pessimo
72.98;444.46;182.12;10.49;91.47;Ruim
442.35;23.57;130.02;82.42;41.11;Ruim
175.72;490.83;80.23;14.38;34.96;Bom
416.06;309.29;52.33;38.89;64.85;Ruim
234.61;318.78;67.15;62.69;11.00;Ruim
134.62;358.78;45.91;10.95;29.04;Bom
101.56;481.15;185.81;55.22;77.63;Ruim
388.20;47.29;143.40;96.53;64.40;Pessimo
363.92;115.11;35.31;3.35;2.02;Ruim
321.91;321.49;171.53;60.40;90.48;Ruim
112.07;262.44;45.83;94.30;85.71;Ruim
113.37;224.89;25.91;16.64;29.77;Ruim
296.69;191.23;35.89;0.20;17.90;Ruim
487.93;128.47;16.66;54.27;57.75;Ruim
192.03;178.95;73.96;71.98;7.00;Bom
324.05;328.54;78.88;50.98;81.86;Ruim
34.86;168.41;51.55;93.82;87.63;Ruim
433.77;260.20;83.17;13.17;25.92;Ruim
312.60;463.75;152.59;96.49;61.95;Pessimo
361.68;445.10;169.97;29.48;44.63;Ruim
66.52;182.08;94.25;90.06;5.59;Ruim
202.10;374.48;146.59;44.21;14.08;Ruim
286.20;349.80;98.08;56.68;79.41;Ruim
432.53;440.94;111.39;86.48;97.14;Ruim
118.68;89.92;164.21;84.35;6.93;Ruim
337.67;138.18;99.38;23.22;79.03;Bom
173.45;476.01;169.95;91.65;37.63;Bom
426.45;113.56;81.89;39.62;64.05;Bom
18.50;73.56;31.64;88.18;10.18;Ruim
166.73;482.82;72.90;43.41;55.05;Ideal
406.83;477.20;81.60;98.17;34.19;Ruim
90.09;323.47;178.70;56.77;68.56;Ruim
477.01;4.36;15.57;66.45;64.44;Pessimo
260.98;105.97;92.79;53.63;29.63;Ruim
83.19;456.70;56.25;71.99;78.86;Ruim
409.14;260.41;109.75;57.67;92.24;Ruim
118.27;186.99;3.49;64.56;67.76;Ruim
49.02;290.22;150.53;25.60;91.11;Ruim
234.31;213.72;43.86;36.37;95.64;Bom
117.22;171.22;12.04;46.30;66.98;Bom
320.95;416.46;40.95;49.52;56.37;Ruim
452.01;298.63;107.01;23.38;52.87;Ruim
336.36;19.69;26.61;66.48;88.75;Pessimo
208.87;413.58;146.32;69.61;68.33;Ruim
490.80;268.16;100.10;26.97;48.55;Ruim
406.22;5.71;56.02;63.81;71.49;Ruim
400.96;341.92;67.38;15.33;58.04;Ruim
176.48;0.11;132.67;74.95;13.85;Bom
9.87;403.73;23.62;97.16;71.02;Pessimo
408.16;484.78;172.53;71.17;35.97;Ruim
32.77;176.28;98.78;8.03;72.71;Ruim
229.28;267.35;63.33;14.89;80.21;Ruim
118.97;248.27;190.10;89.90;47.03;Ruim
319.02;304.40;79.91;80.54;53.87;Ruim
435.02;234.16;170.53;38.79;22.83;Ruim
494.14;42.82;142.02;91.42;38.04;Ruim
301.43;133.35;73.95;2.10;10.57;Bom
325.88;82.42;123.69;19.26;96.99;Ruim
269.11;242.83;83.04;89.51;16.44;Ruim
317.71;85.37;185.55;60.15;92.23;Ruim
114.12;36.61;177.15;86.53;52.99;Ruim
101.59;204.06;72.12;46.23;24.08;Bom
86.54;122.77;62.88;76.81;15.75;Bom
322.63;457.77;185.13;0.57;34.87;Ruim
210.94;312.68;116.47;54.58;26.50;Ruim
384.72;417.46;189.77;14.59;19.33;Ruim
338.73;60.92;53.59;84.30;89.51;Ruim
132.57;238.14;172.20;93.47;18.23;Bom
211.75;340.09;141.45;11.08;94.04;Ruim
281.55;437.07;193.61;26.98;80.91;Ruim
475.66;362.15;198.26;97.62;2.88;Pessimo
337.80;321.15;3.44;10.84;60.75;Pessimo
337.49;189.32;94.10;95.94;71.19;Ruim
68.46;460.16;177.74;12.23;98.59;Ruim
208.47;133.31;41.98;23.77;67.78;Bom
441.66;46.16;144.72;55.85;75.41;Ruim
261.95;389.40;51.01;11.02;26.12;Ruim
358.16;21.41;198.41;40.51;91.42;Ruim
435.13;399.30;118.00;94.32;52.81;Ruim
361.22;259.77;15.41;89.00;52.48;Ruim
225.00;304.34;108.39;15.48;80.25;Ruim
196.49;194.89;172.90;87.33;67.48;Ruim
446.92;446.40;136.80;68.25;46.56;Ruim
1.47;84.06;84.73;19.92;6.00;Ruim
64.20;403.97;21.69;44.15;70.35;Ruim
397.56;395.51;126.44;45.92;33.64;Ruim
110.82;236.14;84.90;58.72;69.99;Bom
401.32;424.81;50.45;67.65;23.73;Ruim
225.12;255.37;104.99;54.21;90.75;Ruim
278.99;327.80;150.47;65.82;18.00;Ruim
121.68;202.49;42.66;29.69;62.77;Bom
469.78;185.80;35.49;75.86;69.21;Ruim
495.42;270.61;41.43;38.02;15.15;Ruim
175.84;180.29;23.76;83.11;11.03;Bom
406.17;356.70;147.31;69.99;60.45;Pessimo
432.31;303.62;158.43;53.44;35.41;Ruim
206.65;489.94;146.04;98.74;99.49;Ruim
96.76;401.30;34.74;48.53;67.33;Ruim
150.67;378.61;80.52;73.76;98.75;Bom
335.00;158.55;100.23;14.31;28.13;Bom
456.54;32.10;187.01;8.07;18.12;Ruim
2.23;255.44;18.80;97.62;23.17;Ruim
462.24;206.36;123.22;60.23;98.08;Ruim
85.42;431.11;40.00;8.03;6.13;Ruim
171.33;328.89;148.61;82.68;58.39;Ruim
234.07;425.68;11.32;10.59;31.30;Ruim
324.33;446.59;7.58;75.47;87.60;Pessimo
392.55;409.90;103.00;67.65;11.10;Ruim
233.27;398.90;82.43;38.74;24.53;Bom
218.07;355.71;185.11;28.30;80.11;Ruim
454.66;92.48;38.37;52.99;39.47;Ruim
101.44;396.05;94.69;76.17;57.88;Ruim
309.71;189.65;159.96;36.13;23.01;Ruim
104.25;69.97;172.27;91.98;43.24;Ruim
173.35;145.41;136.15;77.16;39.53;Bom
433.23;95.83;1.40;27.46;53.91;Ruim
244.25;296.44;75.36;2.36;29.69;Ruim
324.18;66.96;166.27;81.98;74.67;Ruim
187.07;467.42;171.10;69.97;30.78;Ruim
376.80;47.84;43.05;5.87;17.13;Ruim
391.72;411.19;83.56;23.76;50.96;Ruim
330.33;193.87;84.33;88.00;4.44;Ruim
342.54;414.68;39.96;92.49;62.82;Ruim
109.18;174.28;27.77;45.35;62.72;Bom
497.18;40.34;6.28;35.27;82.06;Ruim
342.09;354.48;171.04;58.60;19.10;Ruim
272.70;405.96;108.65;63.13;46.56;Ruim
303.59;78.49;28.66;18.12;65.91;Ruim
206.77;15.53;178.63;38.53;6.74;Ruim
352.13;250.35;39.53;92.60;98.08;Ruim
198.48;271.19;26.93;78.44;65.02;Ruim
109.32;427.90;84.76;95.21;14.07;Ruim
331.56;188.15;117.69;19.04;98.70;Ruim
375.63;43.69;182.18;49.30;11.17;Ruim
321.90;420.01;166.99;61.56;78.71;Pessimo
455.88;0.10;112.23;45.95;51.76;Ruim
466.78;357.85;192.49;91.47;31.58;Ruim
427.57;26.63;49.66;64.10;69.40;Ruim
445.52;86.14;33.15;60.27;37.24;Ruim
21.34;69.25;170.34;82.37;84.90;Ruim
293.35;126.12;174.05;5.68;56.78;Ruim
221.37;25.28;102.49;91.38;4.81;Ruim
151.28;161.56;197.94;82.88;40.56;Bom
404.45;372.10;91.09;2.85;93.67;Ruim
169.85;455.00;161.10;28.07;88.11;Bom
191.62;42.78;160.36;53.22;7.43;Ruim
231.06;222.37;93.46;37.32;75.89;Bom
326.75;475.49;102.45;99.01;29.07;Ruim
34.53;157.72;76.85;55.44;62.83;Bom
350.61;405.00;91.48;84.02;86.17;Ruim
113.08;240.73;59.01;19.40;14.80;Ruim
373.73;385.31;165.05;68.52;98.51;Pessimo
80.28;101.90;59.94;19.56;36.30;Bom
259.19;385.59;14.75;83.50;63.43;Pessimo
249.33;175.18;142.92;20.52;39.71;Bom
126.20;291.43;88.21;58.78;48.42;Bom
474.65;36.87;37.79;66.94;85.71;Ruim
292.02;497.03;194.59;27.00;18.16;Ruim
328.61;41.29;52.76;88.85;54.31;Ruim
372.98;71.56;165.63;12.23;55.46;Ruim
472.58;297.33;152.34;56.90;5.93;Ruim
314.34;120.04;160.29;76.73;28.46;Ruim
18.79;318.70;160.67;49.70;94.00;Ruim
274.28;323.26;163.36;80.32;78.30;Pessimo
288.46;191.80;35.46;16.40;95.63;Ruim
33.20;61.93;16.06;59.79;51.32;Ruim
0.97;49.66;38.28;31.45;76.70;Ruim
370.30;19.88;43.45;13.89;27.74;Ruim
364.00;388.25;91.42;69.52;26.20;Ruim
106.68;56.33;95.51;9.56;46.82;Ruim
420.15;23.26;47.10;87.94;81.56;Ruim
395.76;154.12;47.85;29.43;22.23;Bom
102.48;486.85;197.31;99.07;34.14;Ruim
298.64;187.65;177.35;2.35;27.24;Ruim
132.48;67.23;123.41;22.99;16.34;Bom
316.97;178.66;151.73;72.62;37.19;Ruim
373.58;203.87;43.49;71.76;69.59;Ruim
422.91;206.00;102.24;83.52;84.91;Ruim
300.75;136.69;44.04;60.69;27.32;Bom
134.66;133.41;8.13;44.25;75.22;Ideal
246.78;430.35;43.38;99.31;27.72;Ruim
181.27;135.68;178.42;45.49;4.40;Bom
55.65;381.36;54.09;68.11;34.00;Ruim
333.61;190.01;120.71;100.00;97.30;Ruim
156.81;80.60;128.02;79.49;39.75;Bom
191.39;294.27;107.27;69.66;67.29;Ruim
232.49;34.10;159.84;60.76;82.09;Ruim
299.79;346.93;144.59;46.40;28.90;Ruim
51.32;339.58;169.32;9.50;84.18;Pessimo
97.73;284.66;156.60;89.34;81.68;Ruim
99.82;230.34;196.20;59.77;48.26;Ruim
372.10;323.90;174.22;3.14;12.69;Ruim
242.27;391.17;179.99;94.92;43.98;Ruim
303.24;182.43;18.82;92.76;91.38;Ruim
432.19;344.00;142.55;67.17;39.11;Ruim
254.55;486.14;172.55;21.81;5.30;Ruim
135.23;371.82;58.58;78.46;34.31;Bom
388.84;317.85;140.05;69.39;23.27;Ruim
476.86;43.59;192.94;17.42;97.89;Ruim
355.75;451.88;1.76;25.89;32.64;Ruim
220.84;19.17;31.92;78.59;23.33;Ruim
19.36;210.07;18.73;97.69;28.61;Ruim
111.81;229.25;110.26;6.11;78.38;Ruim
33.50;136.58;57.94;27.67;81.92;Bom
97.04;12.22;6.58;91.61;66.51;Ruim
338.80;470.31;31.96;74.35;39.71;Ruim
388.26;165.03;154.43;3.52;67.15;Ruim
253.13;432.39;140.33;27.13;98.34;Ruim
496.60;361.36;66.42;20.77;12.42;Ruim
73.88;43.98;133.08;91.46;62.48;Ruim
109.69;305.03;109.67;35.92;74.57;Ruim
368.84;264.26;29.50;22.03;25.35;Ruim
336.36;430.77;180.11;32.78;74.85;Ruim
426.38;422.28;97.58;26.41;4.83;Ruim
227.11;212.37;109.34;25.65;56.03;Ruim
68.00;361.64;166.77;71.25;26.99;Ruim
59.22;293.69;135.65;98.74;56.36;Pessimo
36.14;91.83;143.37;12.64;65.82;Ruim
271.16;390.84;32.83;91.69;29.35;Ruim
6.03;38.20;191.00;81.90;91.46;Pessimo
